STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2021,,65.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2022,,63.7,,bp,"break in time series, provisional",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2023,,63.5,,p,provisional,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,FR,France,2024,,63.5,,p,provisional,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2015,,71.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2016,,72.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2017,,71.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2018,,71.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2019,,71.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2020,,70.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2022,,69.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2023,,66.9,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2024,,67.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2015,,60.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2016,,61.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2017,,60.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2018,,60.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2019,,60.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2020,,60.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2021,,60.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2022,,60.8,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2023,,61.7,,ep,"estimated, provisional",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2024,,63.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2015,,59.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2016,,59.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2017,,59.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2018,,59.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2019,,59.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2020,,59.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2021,,57.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2022,,58.7,,e,estimated,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2023,,59.4,,e,estimated,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2024,,64.0,,be,"break in time series, estimated",,
