STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2024,,63.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2015,,67.5,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2016,,67.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2017,,66.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2018,,66.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2019,,67.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2020,,66.8,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2021,,66.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2022,,61.2,,bu,"break in time series, low reliability",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2023,,63.0,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2024,,62.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2015,,64.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2016,,64.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2017,,64.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2018,,64.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2019,,64.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2020,,65.3,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2021,,66.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2022,,65.2,,bp,"break in time series, provisional",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2023,,64.1,,p,provisional,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,FR,France,2024,,63.7,,p,provisional,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2015,,68.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2016,,67.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2017,,70.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2018,,69.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2019,,68.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2020,,66.7,,,,,
