country,demand_2033_baseline,demand_2033_plateau
BG,105712838.00931485,100267748.43170914
PL,359210051.96308446,364486120.35413754
CZ,174722684.95003083,173936537.2406944
RO,249806051.5718147,250029136.14780647
DE,1842034790.033758,1779902257.6325483
FR,1249638783.9451919,1240783679.4798872
NO,125377664.94482446,124847901.96626101
CH,208097093.47077966,207172239.24697235
