country,year,gdp,employed_ths,healthy_share,hly_birth,prod
BG,2000,27403.0,2834.2,,,9.668689577305766
BG,2001,28450.8,2723.1,,,10.447945356395286
BG,2002,30121.4,2760.3,,,10.912364598050937
BG,2003,31698.9,2818.7,,,11.245928974349878
BG,2004,33762.7,2922.0,,,11.554654346338124
BG,2005,36145.1,2947.0,,,12.265049202578894
BG,2006,38603.9,3071.7,0.949302389877428,69.12476468898943,12.567601002702087
BG,2007,41172.7,3208.7,0.9651003643184899,70.58957880526467,12.831582884034033
BG,2008,43696.4,3306.3,0.8709877267425302,63.947230953117604,13.216102592021292
BG,2009,42233.9,3204.8,0.8669210527620633,63.99841313631134,13.178326260609087
BG,2010,42890.7,3037.0,0.8811604044232987,65.1035441968933,14.122719789265721
BG,2011,43787.2,2927.5,0.862294436513318,64.04939324352179,14.95719897523484
BG,2012,44115.1,2894.9,0.8592057827417522,63.947581730816474,15.238902898200282
BG,2013,43875.7,2889.5,0.8608625734888836,64.55870157760661,15.184530195535558
BG,2014,44292.3,2927.3999999999996,0.8593641436395201,64.10996523615962,15.13025210084034
BG,2015,45797.1,2973.5,0.8469872382438155,63.30329296170955,15.40174878089793
BG,2016,47183.2,2954.3,0.8781478945063905,65.8052929925942,15.971025285177536
BG,2017,48478.8,3073.3999999999996,0.8620679637405063,64.60434061199635,15.773670853126832
BG,2018,49608.5,3068.8,0.8769788680145921,65.86151905949876,16.165439259645463
BG,2019,51490.3,2946.0,0.8831736963877751,66.47092398656278,17.478038017651052
BG,2020,49877.0,2833.3999999999996,0.8910825958303622,65.7775030273508,17.60323286510906
BG,2021,53781.4,2785.3999999999996,0.8856237173522137,63.41630618373798,19.308321964529334
BG,2022,55977.8,2840.7,0.898479498041528,66.78352791923591,19.705635934804803
BG,2023,56919.1,2821.7,0.9052585472319926,68.74064526785479,20.171917638303153
BG,2024,58847.0,2820.8,0.9111348469366939,69.18924012032616,20.861812251843446
BG,2025,60669.1,2809.3,,,21.595806784608264
CH,1996,438763.1,3678.1,,,119.29069356461216
CH,1997,447966.7,3668.3,,,122.11833819480412
CH,1998,460402.8,3734.6000000000004,,,123.28035130937717
CH,1999,468137.9,3760.5,,,124.48820635553783
CH,2000,485146.3,3775.8,,,128.48834684040466
CH,2001,492870.8,3836.8,,,128.45881984987489
CH,2002,494745.8,3864.8999999999996,,,128.00998732179357
CH,2003,493339.6,3856.6,,,127.9208629362651
CH,2004,506101.9,3865.0,,,130.94486416558863
CH,2005,521042.5,3887.1,,,134.04401739085694
CH,2006,542584.1,3953.9,,,137.22757277624623
CH,2007,564196.2,4015.5,0.7867914782049945,64.43301740811606,140.50459469555472
CH,2008,578479.4,4111.6,0.792902448518005,65.13989841830387,140.69447417063915
CH,2009,567286.4,4140.4,0.7797552885219217,64.08164642392691,137.0124625640035
CH,2010,585783.5,4087.1,0.780075778357916,64.38238571574992,143.32497369773188
CH,2011,594029.3,4169.2,0.7919322683052072,65.48828157182584,142.48040391442004
CH,2012,600707.0,4214.3,0.8232937140823205,68.09307601001777,142.54016088081056
CH,2013,611736.7,4245.8,0.724094300402688,59.930331207877536,144.08043242733993
CH,2014,627295.8,4306.8,0.7050916814961812,58.62713341673597,145.65241014210088
CH,2015,636419.8,4370.7,0.7172744098774769,59.43199187731087,145.6104971743657
CH,2016,648585.6,4423.1,0.7099829035737534,59.33331914276306,146.63597929054282
CH,2017,657797.7,4454.4,0.7253653392844251,60.589641821712554,147.67369342672413
CH,2018,679685.5,4489.4,0.7223612211601105,60.49160055303255,151.39784826480155
CH,2019,687266.2,4527.9,0.7209688082431329,60.49588713336619,151.78475673049317
CH,2020,671766.6,4518.4,0.7403730919819022,61.4440471701654,148.67355701133144
CH,2021,713256.4,4524.1,0.7315732855249356,61.23535818829799,157.65708096638005
CH,2022,738465.0,4577.7,0.7065724122489477,59.03322368048395,161.31791074120193
CH,2023,744561.5,4648.6,0.6834945566112786,57.48678379900595,160.16897560555864
CH,2024,754913.4,4669.1,0.6890991850399592,57.940423027321906,161.68285108479148
CH,2025,764727.9,4673.1,,,163.6446684213905
CZ,1997,110444.6,4835.7,,,22.839423454722173
CZ,1998,110010.4,4770.200000000001,,,23.062009978617244
CZ,1999,111526.7,4652.4,,,23.97186398418021
CZ,2000,115999.7,4617.3,,,25.12284235375652
CZ,2001,119383.6,4626.0,,,25.807090358841332
CZ,2002,121190.5,4677.3,,,25.91035426421226
CZ,2003,125190.8,4649.3,,,26.926806185877442
CZ,2004,131120.2,4629.4,,,28.323368039054742
CZ,2005,139479.2,4710.0,0.7761128628717486,59.025252148402934,29.61341825902336
