country,sex,year,pop_total,hly_birth,employed_ths,vacancies_sex,jobs,required_service_years,supply_py,demand_py,balance_py,supply_per_demand
PL,M,2011,18429700.0,59.1,8496.1,32886.545063606914,8528986.545063607,25.0,1089195270.0,213224663.6265902,875970606.3734097,5.108204892786014
PL,M,2012,18427296.0,59.1,8497.8,25243.510325810614,8523043.51032581,25.0,1089053193.6000001,213076087.75814524,875977105.8418549,5.111100006848933
PL,M,2013,18426093.0,59.2,8485.6,23896.694846963102,8509496.694846964,25.0,1090824705.6000001,212737417.3711741,878087288.228826,5.127563919311765
PL,M,2014,18403964.0,59.8,8606.8,30931.42929895452,8637731.429298954,25.0,1100557047.2,215943285.73247385,884613761.4675262,5.096509685248791
PL,M,2015,18397163.0,60.1,8690.2,39153.029282484276,8729353.029282484,25.0,1105669496.3,218233825.7320621,887435670.5679379,5.066444180186313
PL,M,2016,18377040.0,61.3,8737.2,48827.96958853973,8786027.96958854,25.0,1126512552.0,219650699.23971352,906861852.7602865,5.12865452238143
PL,M,2017,18377837.0,60.6,8842.1,66917.9155533995,8909017.9155534,25.0,1113696922.2,222725447.888835,890971474.3111651,5.000312863916025
PL,M,2018,18380299.0,60.5,8852.5,83747.55046208487,8936247.550462086,25.0,1112008089.5,223406188.76155216,888601900.7384479,4.977516941962956
PL,M,2019,18380376.0,60.9,9137.7,78214.62495921254,9215914.624959212,25.0,1119364898.3999999,230397865.62398028,888967032.7760196,4.858399600918412
PL,M,2020,18373381.0,60.3,9152.8,45849.5466449236,9198649.546644924,25.0,1107914874.3,229966238.6661231,877948635.6338768,4.81772837928844
PL,M,2021,17942141.0,60.7,9149.9,73961.72354550287,9223861.723545503,25.0,1089087958.7,230596543.08863756,858491415.6113625,4.722915374673992
PL,M,2022,17846003.0,60.8,9120.3,75546.87109553919,9195846.87109554,25.0,1085036982.3999999,229896171.7773885,855140810.6226113,4.719682689847726
PL,M,2023,17773379.0,61.7,9089.6,58481.5144410647,9148081.514441065,25.0,1096617484.3,228702037.86102664,867915446.4389733,4.794961577764217
PL,M,2024,17705971.0,63.2,9028.2,57269.852936266114,9085469.852936266,25.0,1119017367.2,227136746.32340664,891880620.8765934,4.926624094573835
RO,F,2011,10366110.0,57.0,3584.4,11202.81882179495,3595602.818821795,35.0,590868270.0,125846098.65876281,465022171.3412372,4.695165573643766
RO,F,2012,10318889.0,57.6,3599.8,10750.33928310791,3610550.339283108,35.0,594368006.4,126369261.87490878,467998744.5250912,4.703422316325285
RO,F,2013,10258594.0,58.1,3558.1,13200.455727542823,3571300.4557275428,35.0,596024311.4,124995515.950464,471028795.44953597,4.768365543898437
RO,F,2014,10201259.0,59.1,3577.3,16529.892737724582,3593829.8927377244,35.0,602894406.9,125784046.24582036,477110360.65417963,4.793091213823417
RO,F,2015,10163573.0,59.3,3530.6,21154.531330451257,3551754.5313304514,35.0,602699878.9,124311408.5965658,478388470.3034342,4.848307051655837
RO,F,2016,10110852.0,59.0,3498.6,25340.33310882796,3523940.333108828,35.0,596540268.0,123337911.65880898,473202356.34119105,4.836633440415433
RO,F,2017,10041869.0,58.3,3619.5,25685.91210601205,3645185.912106012,35.0,585440962.6999999,127581506.92371042,457859455.7762895,4.588760368303805
RO,F,2018,9978614.0,59.6,3590.2,25679.19483881744,3615879.194838817,35.0,594725394.4,126555771.8193586,468169622.5806414,4.699314664596181
RO,F,2019,9914008.0,60.6,3582.3,22609.703130389273,3604909.703130389,35.0,600788884.8000001,126171839.60956362,474617045.1904365,4.761671753848798
RO,F,2020,9868177.0,60.5,3504.3,15777.12349495902,3520077.123494959,35.0,597024708.5,123202699.32232356,473822009.17767644,4.8458736032890055
RO,F,2021,9814072.0,58.2,3201.4,17617.908439407376,3219017.9084394076,35.0,571178990.4,112665626.79537927,458513363.6046207,5.069682800747758
RO,F,2022,9802984.0,59.3,3282.1,18939.079817036087,3301039.079817036,35.0,581316951.1999999,115536367.79359627,465780583.40640366,5.031462926361963
RO,F,2023,9808880.0,58.9,3252.9,16837.661535430485,3269737.6615354307,35.0,577743032.0,114440818.15374008,463302213.84625995,5.048400049218965
RO,F,2024,9796206.0,65.9,3329.5,15189.571865148298,3344689.5718651484,35.0,645569975.4000001,117064135.01528019,528505840.3847199,5.514669162470085
RO,M,2011,9832949.0,57.4,4555.1,14236.681178205052,4569336.681178205,35.0,564411272.6,159926783.84123716,404484488.75876284,3.5291854124966555
RO,M,2012,9777107.0,57.6,4621.8,13802.410716892087,4635602.410716892,35.0,563161363.2,162246084.37509122,400915278.82490885,3.471032076792968
RO,M,2013,9761480.0,58.8,4620.8,17143.044272457177,4637943.044272457,35.0,573975024.0,162328006.549536,411647017.450464,3.5358964617411592
RO,M,2014,9746052.0,58.9,4677.0,21611.35726227542,4698611.357262275,35.0,574042462.8,164451397.50417963,409591065.29582036,3.4906511681386614
RO,M,2015,9707074.0,59.0,4704.2,28186.468669548743,4732386.468669549,35.0,572717366.0,165633526.40343422,407083839.5965658,3.45773816712101
RO,M,2016,9649733.0,59.8,4667.5,33806.66689117204,4701306.666891172,35.0,577054033.4,164545733.341191,412508300.058809,3.506952272068091
RO,M,2017,9602080.0,59.1,4743.7,33663.83789398794,4777363.837893988,35.0,567482928.0,167207734.3262896,400275193.6737104,3.3938796568621186
RO,M,2018,9554867.0,59.2,4791.6,34272.305161182565,4825872.305161183,35.0,565648126.4,168905530.68064138,396742595.71935856,3.3489023368305255
RO,M,2019,9500450.0,59.9,4825.6,30456.79686961072,4856056.79686961,35.0,569076955.0,169961987.89043635,399114967.10956365,3.3482601731326396
RO,M,2020,9460661.0,59.3,4767.9,21466.12650504098,4789366.126505041,35.0,561017197.3,167627814.4276764,393389382.8723235,3.346802553117178
RO,M,2021,9387590.0,57.3,4466.2,24578.34156059262,4490778.341560593,35.0,537908907.0,157177241.95462075,380731665.0453793,3.4223078373859095
RO,M,2022,9240114.0,58.7,4446.2,25656.420182963913,4471856.420182964,35.0,542394691.8000001,156514974.70640373,385879717.09359634,3.465449186682891
RO,M,2023,9246348.0,59.4,4360.6,22571.338464569515,4383171.338464569,35.0,549233071.1999999,153410996.84625992,395822074.35374,3.5801414663279396
RO,M,2024,9271370.0,64.0,4442.0,20264.9281348517,4462264.928134852,35.0,593367680.0,156179272.4847198,437188407.5152802,3.7992729160526317
